Gene,IFNa,IFNg,celltype_level,subset
ISG15,4.332993779,0.95233274,L1,Bcell
IFI6,4.233123805,0.841505275,L1,Bcell
IFI44L,4.011474891,2.478142766,L1,Bcell
OAS3,3.986809041,0.46267293,L1,Bcell
IFIT3,3.652812335,1.193890094,L1,Bcell
CMPK2,3.53730779,0.765102524,L1,Bcell
IFIT1,3.486045548,0,L1,Bcell
MX1,3.382482072,0.69917003,L1,Bcell
IFI44,3.201356418,1.465840294,L1,Bcell
XAF1,3.108782438,1.329521505,L1,Bcell
SAMD9L,3.070119663,1.828458863,L1,Bcell
IFIT2,3.048855924,0.887623356,L1,Bcell
MX2,2.991145763,0.255307556,L1,Bcell
OAS1,2.693791332,0.801204008,L1,Bcell
OAS2,2.691022934,1.044769375,L1,Bcell
STAT1,2.680568959,3.186913909,L1,Bcell
LY6E,2.620033479,0.811942216,L1,Bcell
HERC5,2.544698211,0.434840818,L1,Bcell
IRF7,2.542383408,0.883381297,L1,Bcell
EPSTI1,2.541892252,1.966899822,L1,Bcell
RSAD2,2.540514021,0,L1,Bcell
HERC6,2.465694139,0.274227841,L1,Bcell
EIF2AK2,2.422896207,0.486940756,L1,Bcell
PLSCR1,2.308059078,0.515306871,L1,Bcell
USP18,2.238859838,0,L1,Bcell
ZBP1,2.162172029,0.405259758,L1,Bcell
PARP9,2.14673129,1.729452167,L1,Bcell
DDX60L,2.106860522,0.162351382,L1,Bcell
TRIM22,2.029402437,1.324880331,L1,Bcell
RNF213,1.983599328,1.455674093,L1,Bcell
UBE2L6,1.964142396,2.123855969,L1,Bcell
ISG20,1.909766877,1.277164789,L1,Bcell
DDX60,1.904770681,0.317677513,L1,Bcell
TNFSF10,1.881297663,0.73838101,L1,Bcell
PARP12,1.634408403,0.89851342,L1,Bcell
DRAP1,1.625734774,0.831473255,L1,Bcell
BST2,1.620747772,0.910989225,L1,Bcell
PARP14,1.617640409,1.236946823,L1,Bcell
IFIH1,1.598707715,0.35399309,L1,Bcell
DTX3L,1.580714002,1.444280562,L1,Bcell
OASL,1.560974192,0,L1,Bcell
TRIM25,1.560635201,0.211038319,L1,Bcell
IFI35,1.54840738,0.928150873,L1,Bcell
